cui	disease_name
C0023493	Adult T-Cell Lymphoma/Leukemia
C0023520	Leukodystrophy
C0023532	Leukoplakia, Oral
C0023646	Lichen Planus
C0023787	Lipodystrophy
C0023798	Lipoma
C0023827	liposarcoma
C0023903	Liver neoplasms
C0023931	Lobstein Disease
C0023976	Long QT Syndrome
C0024117	Chronic Obstructive Airway Disease
C0024121	Lung Neoplasms
C0024141	Lupus Erythematosus, Systemic
C0024221	Lymphangioma
C0024236	Lymphedema
C0024296	Lymphoid Tissue
C0024299	Lymphoma
C0024301	Lymphoma, Follicular
C0024408	Machado-Joseph Disease
C0024421	Macroglossia
C0024433	Macrostomia
C0024437	Macular degeneration
C0024440	Macular Edema, Cystoid
C0024776	Maple Syrup Urine Disease
C0024796	Marfan Syndrome
C0024899	Mastocytosis
C0025149	Medulloblastoma
C0025202	melanoma
C0025237	Melnick-Needles Syndrome
C0025281	Meniere Disease
C0025286	Meningioma
C0025322	Premature Menopause
C0025490	Mesonephroma
C0025517	Metabolic Diseases
C0025568	Metaplasia
C0025990	Micrognathism
C0026106	Mild Mental Retardation
C0026266	Mitral Valve Insufficiency
C0026351	Moderate intellectual disability
C0026470	Monoclonal Gammopathy of Undetermined Significance
C0026650	Movement Disorders
C0026654	Moyamoya Disease
C0026764	Multiple Myeloma
C0026826	Muscle Hypertonia
C0026827	Muscle hypotonia
C0026838	Muscle Spasticity
C0026847	Spinal Muscular Atrophy
C0026848	Myopathy
C0026850	Muscular Dystrophy
C0026985	Myelodysplasia
C0026987	Myelofibrosis
C0027022	Myeloproliferative disease
C0027092	Myopia
C0027126	Myotonic Dystrophy
C0027149	Myxoma
C0027430	Nasal Polyps
C0027439	Nasopharyngeal Neoplasms
C0027651	Neoplasms
C0027672	Neoplastic Syndromes, Hereditary
C0027708	Nephroblastoma
C0027709	Nephrocalcinosis
C0027726	Nephrotic Syndrome
C0027746	Nerve Degeneration
C0027809	Neurilemmoma
C0027819	Neuroblastoma
C0027830	neurofibroma
C0027831	Neurofibromatosis 1
C0027868	Neuromuscular Diseases
C0027877	Neuronal Ceroid-Lipofuscinoses
C0027888	Hereditary Motor and Sensory Neuropathies
C0027961	Nevus of Ota
C0028077	Nyctalopia
C0028326	Noonan Syndrome
C0028738	Nystagmus
C0028754	Obesity
C0028860	Oculocerebrorenal Syndrome
C0028960	Oligospermia
C0029124	Optic Atrophy
C0029422	Osteochondrodysplasias
C0029434	Osteogenesis Imperfecta
C0029453	Osteopenia
C0029454	Osteopetrosis
C0029455	Osteopoikilosis (disorder)
C0029463	Osteosarcoma
C0030186	Paget Disease Extramammary
C0030297	Pancreatic Neoplasm
C0030305	Pancreatitis
C0030354	Papilloma
C0030360	Papillon-Lefevre Disease
C0030421	Paraganglioma
C0030422	Extra-Adrenal Paraganglioma
C0030521	Parathyroid Neoplasms
C0030567	Parkinson Disease
C0030779	Pelger-Huet Anomaly
C0031099	Periodontitis
C0031117	Peripheral Neuropathy
C0031511	Pheochromocytoma
C0031900	Pierre Robin Syndrome
C0032000	Pituitary Adenoma
C0032131	Plasmacytoma
C0032290	Aspiration Pneumonia
C0032463	Polycythemia Vera
C0032580	Adenomatous Polyposis Coli
C0032897	Prader-Willi Syndrome
C0033300	Progeria
C0033375	Prolactinoma
C0033578	Prostatic Neoplasms
C0033687	Proteinuria
C0033770	Prune Belly Syndrome
C0033822	Pseudomyxoma Peritonei
C0033835	Pseudopseudohypoparathyroidism
C0034012	Delayed Puberty
C0034050	Pulmonary Alveolar Proteinosis
C0034069	Pulmonary Fibrosis
C0034194	Pyloric Stenosis
C0034214	Pyogenic granuloma of skin and subcutaneous tissue
C0034341	Pyruvate Carboxylase Deficiency Disease
C0034345	Pyruvate Dehydrogenase Complex Deficiency Disease
C0034885	Rectal Neoplasms
C0034960	Refsum Disease
C0035229	Respiratory Insufficiency
C0035305	Retinal Detachment
C0035309	Retinal Diseases
C0035313	Retinal Dysplasia
C0035334	Retinitis Pigmentosa
C0035335	Retinoblastoma
C0035372	Rett Syndrome
C0035410	Rhabdomyolysis
C0035412	Rhabdomyosarcoma
C0035934	Rubinstein-Taybi Syndrome
C0036069	Saldino-Noonan Syndrome
C0036220	Kaposi Sarcoma
C0036221	Mast-Cell Sarcoma
C0036341	Schizophrenia
C0036346	Schizophrenia, Childhood
C0036439	Scoliosis, unspecified
C0036489	Sea-Blue Histiocyte Syndrome
C0036572	Seizures
C0036631	Seminoma
C0036690	Septicemia
C0036857	Severe intellectual disability
C0037052	Sick Sinus Syndrome
C0037231	Sjogren-Larsson Syndrome
C0037268	Skin Abnormalities
C0037287	Skin nodule
C0037315	Sleep Apnea Syndromes
C0037317	Sleep disturbances
C0037769	West Syndrome
C0037771	Paraparesis, Spastic
C0037772	Spastic Paraplegia
C0037773	Spastic Paraplegia, Hereditary
C0038002	Splenomegaly
C0038356	Stomach Neoplasms
C0038379	Strabismus
C0038454	Cerebrovascular accident
C0038505	Sturge-Weber Syndrome
C0038644	Sudden infant death syndrome
C0039070	Syncope
C0039101	synovial sarcoma
C0039144	Syringomyelia
C0039231	Tachycardia
C0039240	Supraventricular tachycardia
C0039590	Testicular Neoplasms
C0039685	Tetralogy of Fallot
C0040028	Thrombocythemia, Essential
C0040034	Thrombocytopenia
C0040038	Thromboembolism
C0040100	Thymoma
C0040136	Thyroid Neoplasm
C0040300	Body tissue
C0040479	Torsades de Pointes
C0040485	Torticollis
C0040822	Tremor
C0041341	Tuberous Sclerosis
C0042133	Uterine Fibroids
C0042345	Varicosity
C0042510	Ventricular Fibrillation
C0042514	Tachycardia, Ventricular
C0042571	Vertigo
C0042580	Vesico-Ureteral Reflux
C0042781	Visceral Myopathy
C0042798	Low Vision
C0043116	HMN (Hereditary Motor Neuropathy) Proximal Type I
C0043119	Werner Syndrome
C0043194	Wiskott-Aldrich Syndrome
C0043202	Wolff-Parkinson-White Syndrome
C0043207	Wolfram Syndrome
C0043324	Juvenile Xanthogranuloma
C0043346	Xeroderma Pigmentosum
C0043459	Zellweger Syndrome
C0079153	Hyperkeratosis, Epidermolytic
C0079154	Congenital Nonbullous Ichthyosiform Erythroderma
C0079218	Fibromatosis, Aggressive
C0079295	Epidermolysis Bullosa Herpetiformis Dowling-Meara
C0079298	Epidermolysis Bullosa Simplex
C0079299	Epidermolysis Bullosa Simplex Kobner
C0079504	Hermanski-Pudlak Syndrome
C0079541	Holoprosencephaly
C0079583	Ichthyosiform Erythroderma, Congenital
C0079584	Ichthyosis Vulgaris
C0079731	B-Cell Lymphomas
C0079744	Diffuse Large B-Cell Lymphoma
C0079772	T-Cell Lymphoma
C0079773	Lymphoma, T-Cell, Cutaneous
C0079774	Peripheral T-Cell Lymphoma
C0079924	Oligohydramnios
C0080024	Piebaldism
C0080333	Weber-Cockayne Syndrome
C0085084	Motor Neuron Disease
C0085090	Lymphoma, AIDS-Related
C0085106	Familial benign pemphigus
C0085110	Severe Combined Immunodeficiency
C0085136	Central Nervous System Neoplasms
C0085298	Sudden Cardiac Death
C0085390	Li-Fraumeni Syndrome
C0085413	Polycystic Kidney, Autosomal Dominant
C0085548	Autosomal Recessive Polycystic Kidney Disease
C0085612	Ventricular arrhythmia
C0085614	First degree atrioventricular block
C0085636	Photophobia
C0085637	Oculogyric crisis
C0085653	Pyogenic granuloma
C0085750	Adenosis of Breast
C0086533	Leiomyoma, Epithelioid
C0086543	Cataract
C0087012	Ataxia, Spinocerebellar
C0149516	Chronic sinusitis
C0149521	Pancreatitis, Chronic
C0149630	Bicuspid aortic valve
C0149721	Left Ventricular Hypertrophy
C0149782	Squamous cell carcinoma of lung
C0149826	Gastric adenoma
C0149862	Villous adenoma of colon
C0149871	Deep Vein Thrombosis
C0149925	Small cell carcinoma of lung
C0149978	Adenocarcinoma of rectum
C0151544	Gastrointestinal carcinoma
C0151546	Oral Cavity Carcinoma
C0151611	Electroencephalogram abnormal
C0151779	Cutaneous Melanoma
C0151786	Muscle Weakness
C0151878	Prolonged QT interval
C0151889	Hyperreflexia
C0152013	Adenocarcinoma of lung (disorder)
C0152018	Esophageal carcinoma
C0152025	Polyneuropathy
C0152109	Juvenile Spinal Muscular Atrophy
C0152203	Strabismus, Comitant
C0152276	Granulocytic Sarcoma
C0152423	Congenital small ears
C0152427	Polydactyly
C0153368	Malignant neoplasm of floor of mouth
C0153436	Malignant neoplasm of sigmoid colon
C0153439	Malignant neoplasm of ascending colon
C0153574	Malignant Uterine Corpus Neoplasm
C0153594	Malignant neoplasm of testis
C0153631	Malignant neoplasm of lacrimal duct
C0154025	Benign neoplasm of conjunctiva
C0154038	Benign neoplasm of thyroid gland
C0154089	Carcinoma in situ of penis
C0155299	Coloboma of optic disc
C0156344	Endometriosis of ovary
C0158118	Contracture of multiple joints
C0158252	Intervertebral disc disorder
C0158644	Congenital anomaly of lung
C0158667	Aplasia of Lacrimal and Salivary Glands
C0158683	Polycystic liver disease
C0158761	Radioulnar Synostosis
C0158768	Macrodactyly of toe
C0158981	Neonatal diabetes mellitus
C0162309	Adrenoleukodystrophy
C0162316	Iron deficiency anemia
C0162531	Hereditary Coproporphyria
C0162534	Prion Diseases
C0162635	Angelman Syndrome
C0162670	Mitochondrial Myopathies
C0162671	MELAS Syndrome
C0162678	Neurofibromatoses
C0162809	Kallmann Syndrome
C0162834	Hyperpigmentation
C0162835	Hypopigmentation disorder
C0175693	Russell-Silver syndrome
C0175694	Smith-Lemli-Opitz Syndrome
C0175699	Saethre-Chotzen Syndrome
C0175703	Thrombocytopenia-Absent Radius Syndrome
C0175704	LEOPARD Syndrome
C0175754	Agenesis of corpus callosum
C0175778	Larsen syndrome
C0178421	Fibroadenoma of breast
C0205646	Adenoma, Basal Cell
C0205695	Carcinoid, Goblet Cell
C0205697	Carcinoma, Spindle-Cell
C0205700	Asymmetric Septal Hypertrophy
C0205711	Pelizaeus-Merzbacher Disease
C0205748	Dysplastic Nevus
C0205768	Subependymal Giant Cell Astrocytoma
C0205770	Choroid Plexus Papilloma
C0205824	Liposarcoma, Dedifferentiated
C0205825	Liposarcoma, Pleomorphic
C0205833	Medullomyoblastoma
C0205898	pineoblastoma
C0205944	Sarcoma, Epithelioid
C0205969	Thymic Carcinoma
C0206042	Fatal Familial Insomnia
C0206061	Pneumonia, Interstitial
C0206062	Lung Diseases, Interstitial
C0206141	Idiopathic Hypereosinophilic Syndrome
C0206180	Ki-1+ Anaplastic Large Cell Lymphoma
C0206182	Lymphomatoid Papulosis
C0206623	Adenosquamous carcinoma
C0206624	Hepatoblastoma
C0206625	Malignant Mixed Tumor
C0206629	Pulmonary Blastoma
C0206630	Endometrial Stromal Sarcoma
C0206637	Mesenchymal Chondrosarcoma
C0206640	Ossifying Fibroma
C0206642	Parosteal Osteosarcoma
C0206645	Desmoplastic fibroma
C0206646	Fibromatosis, Abdominal
C0206651	Clear Cell Sarcoma of Soft Tissue
C0206655	Alveolar rhabdomyosarcoma
C0206656	Embryonal Rhabdomyosarcoma
C0206657	Alveolar Soft Part Sarcoma
C0206663	Neuroectodermal Tumor, Primitive
C0206667	Adrenal Cortical Adenoma
C0206669	Hepatocellular Adenoma
C0206681	Adenocarcinoma, Clear Cell
C0206682	Follicular thyroid carcinoma
C0206684	Sebaceous Adenocarcinoma
C0206686	Adrenocortical carcinoma
C0206692	Carcinoma, Lobular
C0206694	Mucoepidermoid Carcinoma
C0206695	Carcinoma, Neuroendocrine
C0206697	Carcinoma, Skin Appendage
C0206702	Klatskin Tumor
C0206708	Cervical Intraepithelial Neoplasia
C0206711	Pilomatrixoma
C0206716	Ganglioglioma
C0206717	Olfactory Neuroblastoma
C0206718	Ganglioneuroblastoma
C0206719	Central Neurocytoma
C0206726	gliosarcoma
C0206728	Plexiform Neurofibroma
C0206731	Angiofibroma
C0206733	Strawberry nevus of skin
C0206734	Hemangioblastoma
C0206736	Nevus, Blue
C0206737	Nevus, Intradermal
C0206739	Epithelioid and spindle cell nevus
C0206740	Calcifying Odontogenic Cyst
C0206743	Rhabdoid Tumor
C0220620	Gastrointestinal Carcinoid Tumor
C0220633	Uveal melanoma
C0220641	Lip and Oral Cavity Carcinoma
C0220647	Carcinoma of unknown primary
C0220658	Pfeiffer Syndrome
C0220659	Acrodysostosis
C0220662	ARTHROGRYPOSIS, DISTAL, TYPE 1
C0220664	BRACHYDACTYLY, TYPE D
C0220697	POLYDACTYLY, POSTAXIAL
C0220721	CATARACT 46, JUVENILE-ONSET, WITH OR WITHOUT ARRHYTHMIC CARDIOMYOPATHY
C0220722	Cerebrooculofacioskeletal Syndrome 1
C0220988	Xanthinuria
C0220989	Acquired partial lipodystrophy
C0221013	Mastocytosis, Systemic
C0221054	Welander Distal Myopathy
C0221060	Mobius Syndrome
C0221061	Behr syndrome
C0221263	Cafe-au-Lait Spots
C0221273	Juvenile polyp
C0221287	Combined Hepatocellular Carcinoma and Cholangiocarcinoma
C0221356	Brachycephaly
C0221357	Brachydactyly
C0221406	Pituitary-dependent Cushing's disease
C0221629	Proximal muscle weakness
C0229619	Hemopoietic tissue
C0231687	Spastic gait
C0232981	Arrest of spermatogenesis
C0233514	Abnormal behavior
C0233794	Memory impairment
C0234379	Resting Tremor
C0234629	Abnormal color vision
C0234985	Mental deterioration
C0235480	Paroxysmal atrial fibrillation
C0235752	Port-Wine Stain
C0235753	Congenital hemangioma
C0235782	Gallbladder Carcinoma
C0235833	Congenital diaphragmatic hernia
C0235946	Cerebral atrophy
C0235974	Pancreatic carcinoma
C0236038	Congenital hearing disorder
C0236048	Polyposis, Gastric
C0236642	Pick Disease of the Brain
C0238003	Adenocarcinoma of appendix
C0238031	Breast Phyllodes Tumor
C0238033	Carcinoma of Male Breast
C0238034	Intraductal papilloma of breast
C0238062	Chronic intestinal pseudo-obstruction
C0238093	Stenosis of duodenum
C0238111	Lennox-Gastaut syndrome
C0238137	Gallbladder adenoma
C0238198	Gastrointestinal Stromal Tumors
C0238339	Hereditary pancreatitis
C0238432	Ependymoma of spinal cord
C0238448	Testicular embryonal carcinoma
C0238449	Choriocarcinoma of the Testis
C0238451	Teratoma of testis
C0238461	Anaplastic thyroid carcinoma
C0238462	Medullary carcinoma of thyroid
C0238463	Papillary thyroid carcinoma
C0238518	Squamous cell carcinoma of vagina
C0239998	Recurrent infections
C0240063	Coloboma of iris
C0240231	Fractures of the long bones
C0240421	Progressive muscle weakness
C0240735	Personality Change
C0240896	Fundus coloboma
C0241005	Creatine phosphokinase serum increased
C0241074	Skin hyperelastic
C0241240	Tall stature
C0241654	Abnormal heart valve morphology
C0241688	Peripheral visual field loss
C0241961	Angiomyolipoma of kidney
C0242422	Parkinsonian Disorders
C0242647	Mucosa-Associated Lymphoid Tissue Lymphoma
C0242852	Proliferative vitreoretinopathy
C0243002	Tricuspid Atresia
C0259771	Steatocystoma multiplex
C0259779	Fibrous Dysplasia
C0259781	Compound nevus of skin
C0259782	Telangiectatic osteosarcoma
C0259785	Malignant Meningioma
C0259786	Rhabdoid meningioma
C0262401	Carcinoma of ampulla of Vater
C0262436	Cardiac valvular dysplasia, X-linked
C0262584	Carcinoma, Small Cell
C0262587	Parathyroid Adenoma
C0262659	Vagina Carcinoma
C0263383	Keratosis pilaris
C0263429	Atrophoderma vermiculatum
C0264162	Camptocormia
C0264789	Familial cardiomyopathy
C0264886	Conduction disorder of the heart
C0265004	Dilatation of aorta
C0265202	Seckel syndrome
C0265210	Weaver syndrome
C0265215	Meckel-Gruber syndrome
C0265216	X-linked hydrocephalus syndrome
C0265220	Pallister-Hall syndrome
C0265242	Otocephaly
C0265245	Nager syndrome
C0265246	Townes syndrome
C0265251	Oto-Palato-digital syndrome type 1
C0265252	Coffin-Lowry syndrome
C0265253	Stickler syndrome (disorder)
C0265267	Congenital Hemidysplasia with Ichthyosiform Erythroderma and Limb Defects
C0265269	Lacrimoauriculodentodigital syndrome
C0265273	Achondrogenesis type 1A
C0265275	Jeune thoracic dystrophy
C0265283	Atelosteogenesis, type 1
C0265293	Frontometaphyseal dysplasia
C0265306	Greig cephalopolysyndactyly syndrome
C0265319	Fibrous skin tumor of tuberous sclerosis
C0265325	Turcot syndrome (disorder)
C0265326	Bannayan-Riley-Ruvalcaba Syndrome
C0265333	Tricho-dento-osseous syndrome (disorder)
C0265334	Pachyonychia Congenita
C0265338	Coffin-Siris syndrome
C0265339	Borjeson-Forssman-Lehmann syndrome
C0265344	Donohue Syndrome
C0265354	CHARGE Syndrome
C0265514	Dermatofibrosis lenticularis disseminata
C0265552	Congenital macrodactylia
C0265554	Ectrodactyly
C0265783	Congenital hypoplasia of lung
C0265908	Congenital atresia of pulmonary artery
C0265965	Dyskeratosis Congenita
C0265971	Acrokeratosis Verruciformis of Hopf
C0265979	Fibrous Hamartoma of Infancy
C0266006	Pili torti-deafness syndrome
C0266249	Gallbladder anomaly congenital
C0266294	Unilateral agenesis of kidney
C0266295	Congenital hypoplasia of kidney
C0266313	Allanson Pantzar McLeod syndrome
C0266362	Ambiguous Genitalia
C0266427	Testicular regression syndrome
C0266463	Lissencephaly
C0266464	Polymicrogyria
C0266470	Cerebellar Hypoplasia
C0266526	Norrie disease
C0266573	Congenital ptosis
C0266589	Congenital ear anomaly NOS (disorder)
C0267095	Leukoplakia of esophagus
C0267111	Gastric dysplasia
C0267392	Pseudopolyposis of colon
C0267809	Cirrhosis, Cryptogenic
C0267925	Bile Duct Stenosis
C0268118	Xanthinuria, Type I
C0268125	Purine-nucleoside phosphorylase deficiency
C0268138	Xeroderma Pigmentosum, Complementation Group D
C0268147	Glycogen storage disease, type IX
C0268149	Glycogen storage disease type X
C0268155	Deficiency of galactokinase
C0268162	Pentosuria
C0268165	Primary hyperoxaluria type 2
C0268181	Lactose Intolerance, Adult Type
C0268186	Congenital glucose-galactose malabsorption
C0268237	Cytochrome-c Oxidase Deficiency
C0268312	Progressive intrahepatic cholestasis (disorder)
C0268337	Ehlers-Danlos syndrome, type 3 (disorder)
C0268344	Ehlers-Danlos syndrome 6B
C0268354	De Barsy syndrome
C0268358	Osteogenesis imperfecta, dominant perinatal lethal
C0268362	Osteogenesis imperfecta type III (disorder)
C0268363	Osteogenesis imperfecta type IV (disorder)
C0268374	Adult junctional epidermolysis bullosa (disorder)
C0268389	Amyloidosis, familial visceral
C0268416	Enterokinase Deficiency
C0268465	Phenylketonuria II
C0268525	5-oxoprolinase deficiency
C0268532	Deficiency of prolidase
C0268548	Hyperargininemia
C0268596	Multiple Acyl Coenzyme A Dehydrogenase Deficiency
C0268609	Glutamate formiminotransferase deficiency
C0268621	Hepatic methionine adenosyltransferase deficiency
C0268631	succinic semialdehyde dehydrogenase deficiency
C0270612	Leukoencephalopathy
C0270685	Cerebral calcification
C0270726	Alexander Disease
C0270736	Essential Tremor
C0270834	Complex partial seizure with impairment of consciousness
C0270850	Idiopathic generalized epilepsy
C0270853	Juvenile Myoclonic Epilepsy
C0270855	Early myoclonic encephalopathy
C0270913	Charcot-Marie-Tooth disease, Type 1C
C0270914	Hereditary Motor and Sensory-Neuropathy Type II
C0270952	Muscular Dystrophy, Oculopharyngeal
C0270960	Congenital myopathy (disorder)
C0270972	Cornelia De Lange Syndrome
