#DiseaseName	SourceName	ConceptID	SourceID	DiseaseMIM	LastModified	Category
11q22.2q22.3 microdeletion syndrome	MONDO	CN237678	MONDO:0018632		17 Apr 2020	Disease
12p12.1 microdeletion syndrome	MONDO	C4755260	MONDO:0017781		17 Apr 2020	Disease
12q14 microdeletion syndrome	MONDO	C4305140	MONDO:0019784		17 Apr 2020	Disease
12q15q21.1 microdeletion syndrome	MONDO	C4518344	MONDO:0017334		17 Apr 2020	Disease
13 pairs of ribs					22 Aug 2019	Finding
13q partial monosomy syndrome	NCBI curation	C0265451			09 Mar 2021	Disease
13q12.2q12.3 deletion					23 Aug 2021	Disease
13q12.3 microdeletion					16 Jan 2020	Disease
13q12.3 microdeletion syndrome	MONDO	C4750951	MONDO:0018474		17 Apr 2020	Disease
14q11.2 microduplication syndrome	MONDO	C4749855	MONDO:0016835		17 Apr 2020	Disease
14q12 microdeletion syndrome	MONDO	C4305240	MONDO:0016833		17 Apr 2020	Disease
14q22.2q24.3 duplication					06 Jun 2021	Disease
14q24.1q24.3 microdeletion syndrome	MONDO	C4750911	MONDO:0018429		17 Apr 2020	Disease
15q overgrowth syndrome	MONDO	C4749920	MONDO:0017806		17 Apr 2020	Disease
15q22.2 deletion syndrome					12 Feb 2020	Disease
16p11.2 deletion syndrome	NCBI curation	C3150154		611913	16 Feb 2016	Disease
16p11.2p12.2 microduplication syndrome	MONDO	C4518821	MONDO:0016834		17 Apr 2020	Disease
16p12.1p12.3 triplication syndrome	MONDO	CN258544	MONDO:0044621		17 Apr 2020	Disease
16p13.11 microdeletion syndrome	MONDO	C4304596	MONDO:0016836		17 Apr 2020	Disease
16p13.11 microduplication syndrome	MONDO	C4304595	MONDO:0016837		17 Apr 2020	Disease
16p13.2-p13.13 microduplication syndrome		CN239060			16 Nov 2016	Disease
16q24.1 microdeletion syndrome	MONDO	C4749464	MONDO:0018127		17 Apr 2020	Disease
16q24.3 microdeletion syndrome	MONDO	C4304594	MONDO:0016838		04 Nov 2016	Disease
16q24.3 microdeletion syndrome	Orphanet	C4304594	ORPHA261250		04 Nov 2016	Disease
17,20-lyase deficiency, isolated, included	NCBI curation				16 Feb 2016	Disease
17-Beta-Hydroxysteroid Dehydrogenase III Deficiency		CN239160			02 Dec 2016	Disease
17q11.2 microduplication syndrome	MONDO	C4304642	MONDO:0015350		17 Apr 2020	Disease
19p13.12 microdeletion syndrome	MONDO	C4304579	MONDO:0016765		17 Apr 2020	Disease
19p13.3 microduplication syndrome	MONDO	CN237720	MONDO:0018658		17 Apr 2020	Disease
1p13.3 deletion syndrome					28 Jun 2019	Disease
1p21.3 microdeletion syndrome	MONDO	C4304578	MONDO:0017405		17 Apr 2020	Disease
1p35.2 microdeletion syndrome	MONDO	CN237766	MONDO:0018697		17 Apr 2020	Disease
1p36.1 deletion syndrome					08 Sep 2021	Disease
1q21.1 recurrent microdeletion	NCBI curation	C2675897		612474	16 Feb 2016	Disease
1q24q25 microdeletion syndrome	NCBI curation	CN252652			04 Mar 2019	Disease
1q44 microdeletion syndrome	MONDO	C4304540	MONDO:0016561		17 Apr 2020	Disease
2,4-Dienoyl-CoA reductase deficiency	NCBI curation	C1857252		616034	16 Feb 2016	Disease
2-3 finger syndactyly	Human Phenotype Ontology	C0432055	HP:0001233		16 Feb 2016	Finding
2-3 toe cutaneous syndactyly	Human Phenotype Ontology	C0432040	HP:0005709		16 Feb 2016	Finding
2-3 toe syndactyly	Human Phenotype Ontology	C4551570	HP:0004691		16 Feb 2016	Finding
2-3-4 toe syndactyly					12 Nov 2020	Finding
2-4 finger syndactyly	Human Phenotype Ontology	C4021236	HP:0010709		16 Feb 2016	Finding
2-4 toe cutaneous syndactyly	Human Phenotype Ontology	C4021622	HP:0005768		16 Feb 2016	Finding
2-4 toe syndactyly	Human Phenotype Ontology	C4021234	HP:0010714		16 Feb 2016	Finding
2-5 finger syndactyly	Human Phenotype Ontology	C4023736	HP:0010692		16 Feb 2016	Finding
2-5 toe syndactyly	Human Phenotype Ontology	C4023724	HP:0010715		16 Feb 2016	Finding
2-aminoadipic 2-oxoadipic aciduria	MONDO	C1859817	MONDO:0008774	204750	24 Aug 2016	Disease
2-hydroxyethyl methacrylate sensitization	MONDO	C2930873	MONDO:0022323		16 Feb 2016	Disease
2-Hydroxyglutaric aciduria					16 Feb 2016	Disease
2-methylacetoacetyl CoA thiolase deficiency	MONDO	C2930874	MONDO:0022321		22 Jan 2021	Disease
20p12.3 microdeletion syndrome	MONDO	C4304539	MONDO:0016841		17 Apr 2020	Disease
20p13 microdeletion syndrome	MONDO	C4750789	MONDO:0017780		17 Apr 2020	Disease
20q11.2 microdeletion syndrome	MONDO	CN237681	MONDO:0018633		17 Apr 2020	Disease
20q11.2 microduplication syndrome	MONDO	C4706257	MONDO:0018204		17 Apr 2020	Disease
20q13.33 microdeletion syndrome	MONDO	C4518823	MONDO:0016843		17 Apr 2020	Disease
21-HYDROXYLASE POLYMORPHISM					16 Feb 2016	Disease
21q22.11q22.12 microdeletion syndrome	MONDO	C5192593	MONDO:0016845		17 Apr 2020	Disease
22q11.2 central deletion syndrome					22 Jul 2019	Finding
22q11.2 central duplication syndrome					22 Jul 2019	Disease
22q11.2 deletion syndrome	MONDO	CN294181	MONDO:0018923		22 Jan 2021	Disease
22q11.2 distal duplication syndrome					22 Jul 2019	Finding
22q13.3 deletion syndrome	NCBI curation	C1853490		606232	16 Feb 2016	Disease
22q13.3 interstitial deletion					07 Jul 2020	Disease
2nd-5th toe middle phalangeal hypoplasia	Human Phenotype Ontology	C1861376	HP:0008083		16 Feb 2016	Finding
2p terminal deletion					05 Sep 2019	Finding
2p13.2 microdeletion syndrome	MONDO	C4749460	MONDO:0018207		17 Apr 2020	Disease
2p15-16.1 microdeletion syndrome	NCBI curation	C2675875		612513	16 Feb 2016	Disease
2p21 microdeletion syndrome	MONDO	C4304537	MONDO:0015583		17 Apr 2020	Disease
2p21 microdeletion syndrome without cystinuria	MONDO	C4749458	MONDO:0018245		17 Apr 2020	Disease
2q23.1 microdeletion syndrome	MONDO	C4304532	MONDO:0016459		17 Apr 2020	Disease
2q23.1 microduplication syndrome	MONDO	C4707847	MONDO:0017786		17 Apr 2020	Disease
2q24 microdeletion syndrome	MONDO	C2931816	MONDO:0015566		17 Apr 2020	Disease
2q31.1 microdeletion syndrome	MONDO	C4274647	MONDO:0016652		17 Apr 2020	Disease
2q31.1 microduplication syndrome	MONDO	CN203162	MONDO:0017412		17 Apr 2020	Disease
2q33.1 microdeletion syndrome	MONDO	C4706258	MONDO:0016653		17 Apr 2020	Disease
3 beta-Hydroxysteroid dehydrogenase deficiency	NCBI curation	C0342471		201810	16 Feb 2016	Disease
3 Methylcrotonyl-CoA carboxylase 1 deficiency	NCBI curation	C0268600		210200	16 Feb 2016	Disease
3 mm pineal cyst					23 Jan 2020	Finding
3-4 finger cutaneous syndactyly	Human Phenotype Ontology	C4023115	HP:0011939		16 Feb 2016	Finding
3-4 finger syndactyly	Human Phenotype Ontology	C1856889	HP:0006097		16 Feb 2016	Finding
3-4 toe syndactyly	Human Phenotype Ontology	C1834062	HP:0009779		16 Feb 2016	Finding
3-5 finger syndactyly	Human Phenotype Ontology	C4023727	HP:0010710		16 Feb 2016	Finding
3-5 toe syndactyly	Human Phenotype Ontology	C4023723	HP:0010716		16 Feb 2016	Finding
3-hydroxydicarboxylic aciduria	Human Phenotype Ontology	C4024725	HP:0008160		16 Feb 2016	Finding
3-Hydroxyisobutyric aciduria		C0342737		236795	16 Feb 2016	Disease
3-limbed polydactyly		CN238701			19 Oct 2016	Finding
3-M syndrome	MONDO	CN073943	MONDO:0007477		22 Jan 2021	Disease
3-methylcrotonyl CoA carboxylase 2 deficiency	NCBI curation	C1859499		210210	16 Feb 2016	Disease
3-Methylglutaconic aciduria	OMIM phenotypic series	C3696376	PS250950		16 Feb 2016	Disease
3-Methylglutaconic aciduria	Human Phenotype Ontology	C3696376	HP:0003535		16 Feb 2016	Disease
3-Methylglutaconic aciduria type 1	NCBI curation	C0342727		250950	25 Jul 2018	Disease
3-Methylglutaconic aciduria type 2	NCBI curation	C0574083		302060	16 Feb 2016	Disease
3-Methylglutaconic aciduria type 3		C0574084		258501	16 Feb 2016	Disease
3-methylglutaconic aciduria type 9	MONDO	C4540171	MONDO:0044724	617698	22 Apr 2020	Disease
3-methylglutaconic aciduria type IV	NCBI curation	C1855126		250951	16 Feb 2016	Disease
3-methylglutaconic aciduria type V	NCBI curation	C1857776		610198	16 Feb 2016	Disease
3-methylglutaconic aciduria with cataracts, neurologic involvement, and neutropenia	NCBI curation	C4225393		616271	16 Feb 2016	Disease
3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome	MONDO	C3553597	MONDO:0013875	614739	16 Feb 2016	Disease
3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia		CN259052			14 Jun 2019	Disease
3-methylglutaconic aciduria, type VIII	NCBI curation	C4310650		617248	20 Jun 2017	Disease
3-Methylglutaric aciduria	Human Phenotype Ontology	C3151952	HP:0003344		16 Feb 2016	Finding
3-Oxo-5 alpha-steroid delta 4-dehydrogenase deficiency		C0268297		264600	16 Feb 2016	Disease
3-phosphoglycerate dehydrogenase deficiency	MONDO	C0580190	MONDO:0018491		22 Jan 2021	Disease
3MC syndrome 1	MONDO	C0796059	MONDO:0009770	257920	22 Apr 2020	Disease
3MC syndrome 2	MONDO	C0796279	MONDO:0009927	265050	22 Apr 2020	Disease
3MC syndrome 3	MONDO	C0796032	MONDO:0009554	248340	22 Apr 2020	Disease
3p25.3 microdeletion syndrome	MONDO	CN237571	MONDO:0018564		17 Apr 2020	Disease
3q partial trisomy syndrome		C0265401			16 Feb 2016	Disease
3q26 microduplication syndrome	MONDO	C4755319	MONDO:0019878		17 Apr 2020	Disease
3q26q27 microdeletion syndrome	MONDO	C4755255	MONDO:0018156		17 Apr 2020	Disease
3q27.3 microdeletion syndrome	MONDO	C4749427	MONDO:0018341		17 Apr 2020	Disease
3q29 microdeletion syndrome	NCBI curation	C2674949		609425	16 Feb 2016	Disease
3rd finger clinodactyly					22 Aug 2019	Finding
4-5 finger syndactyly	Human Phenotype Ontology	C4023731	HP:0010705		16 Feb 2016	Finding
4-5 toe syndactyly	Human Phenotype Ontology	C1837836	HP:0004692		16 Feb 2016	Finding
4-hydroxyphenylacetic aciduria	MONDO	C1848680	MONDO:0022330		22 Jan 2021	Disease
4-Hydroxyphenylpyruvic aciduria	Human Phenotype Ontology	C1848678	HP:0003161		16 Feb 2016	Finding
45,X/46,XY mixed gonadal dysgenesis	MONDO	CN279762	MONDO:0015779		17 Apr 2020	Disease
46,XX disorder of gonadal development	MONDO	CN227225	MONDO:0017961		17 Apr 2020	Disease
46,XX disorder of sex development	MONDO	C2936403	MONDO:0017576		22 Jan 2021	Disease
46,XX disorder of sex development induced by androgens excess	MONDO	CN227738	MONDO:0020039		17 Apr 2020	Disease
46,XX disorder of sex development induced by endogenous maternal-derived androgen	MONDO	CN227227	MONDO:0017963		17 Apr 2020	Disease
46,XX disorder of sex development induced by exogenous maternal-derived androgen	MONDO	CN227228	MONDO:0017964		17 Apr 2020	Disease
46,XX disorder of sex development induced by fetal androgens excess	MONDO	CN227655	MONDO:0019593		17 Apr 2020	Disease
46,XX disorder of sex development induced by fetoplacental androgens excess	MONDO	CN227226	MONDO:0017962		17 Apr 2020	Disease
46,XX disorder of sex development induced by maternal-derived androgen	MONDO	CN227662	MONDO:0019608		17 Apr 2020	Disease
46,XX disorder of sex development-anorectal anomalies syndrome	MONDO	CN203326	MONDO:0017573		17 Apr 2020	Disease
46,XX gonadal dysgenesis	Orphanet	C0685837	ORPHA243		22 Oct 2017	Disease
46,XX Gonadal dysgenesis epibulbar dermoid					16 Feb 2016	Disease
46,xx gonadal dysgenesis, complete, sry-positive	NCBI curation	CN220534			16 Feb 2016	Disease
46,XX sex reversal 2	MONDO	C2749215	MONDO:0010218	278850	20 May 2016	Disease
46,XX sex reversal 4	MONDO	C4479552	MONDO:0060489	617480	21 Jun 2017	Disease
46,xx sex reversal 5	MONDO	C5394441	MONDO:0030049	618901	22 Jan 2021	Disease
46,XX sex reversal, type 1	NCBI curation	C2748895		400045	16 Feb 2016	Disease
46,XX sex reversal, type 3	NCBI curation	C3151782		300833	16 Feb 2016	Disease
46,XX testicular disorder of sex development	MONDO	C2936419	MONDO:0100249		16 Feb 2016	Disease
46,XX testicular disorder of sex development	MONDO	C2936419	MONDO:0010766		16 Feb 2016	Disease
46,XY disorder of gonadal development	MONDO	CN227229	MONDO:0017966		17 Apr 2020	Disease
46,XY disorder of sex development	MONDO	C2751824	MONDO:0020040		15 Jan 2021	Disease
46,XY disorder of sex development and 46,XY complete gonadal dysgenesis	NCBI curation	CN043561			16 Feb 2016	Disease
46,XY disorder of sex development due to a cholesterol synthesis defect	MONDO	CN227234	MONDO:0017971		17 Apr 2020	Disease
46,XY disorder of sex development due to a defect in testosterone metabolism by peripheral tissue	MONDO	CN227739	MONDO:0020041		17 Apr 2020	Disease
46,XY disorder of sex development due to a testosterone synthesis defect	MONDO	CN227656	MONDO:0019594		17 Apr 2020	Disease
46,XY disorder of sex development due to adrenal and testicular steroidogenesis defect	MONDO	CN227657	MONDO:0019595		17 Apr 2020	Disease
46,XY disorder of sex development due to impaired androgen production	MONDO	CN227233	MONDO:0017970		17 Apr 2020	Disease
46,XY disorder of sex development due to isolated 17,20-lyase deficiency	MONDO	CN206443	MONDO:0019597		17 Apr 2020	Disease
46,XY disorder of sex development due to testicular steroidogenesis defect	MONDO	CN227658	MONDO:0019596		17 Apr 2020	Disease
46,XY disorder of sex development induced by maternal-exposure to endocrine disruptors	MONDO	CN227235	MONDO:0017974		17 Apr 2020	Disease
46,XY disorder of sex development of endocrine origin	MONDO	CN227232	MONDO:0017969		17 Apr 2020	Disease
46,XY disorder of sex development of gynecological interest	MONDO	CN227238	MONDO:0017977		17 Apr 2020	Disease
46,XY disorder of sexual development due to dihydrotestosterone backdoor pathway biosynthesis defect	MONDO	CN293339	MONDO:0018618		15 Oct 2020	Disease
46,XY DSD/46,XY CGD	NCBI curation	CN239172			20 Jun 2017	Disease
46,XY gonadal dysgenesis, partial, with minifascicular neuropathy	NCBI curation	C5436061		607080	16 Feb 2016	Disease
46,XY ovotesticular disorder of sex development	MONDO	C4706535	MONDO:0017968		17 Apr 2020	Disease
46,XY partial gonadal dysgenesis	MONDO	C4510744	MONDO:0016674		17 Apr 2020	Disease
46,XY sex reversal 10	MONDO	C4225331	MONDO:0014634	616425	22 Jun 2016	Disease
46,XY sex reversal 8	NCBI curation	C1839840		614279	16 Feb 2016	Disease
46,XY sex reversal 9	MONDO	C4015129	MONDO:0014480	616067	16 Feb 2016	Disease
46,XY sex reversal, type 1	NCBI curation	C2748896		400044	16 Feb 2016	Disease
46,XY sex reversal, type 2	NCBI curation	C1848296		300018	16 Feb 2016	Disease
46,XY sex reversal, type 3	NCBI curation	C3489793		612965	16 Feb 2016	Disease
46,XY sex reversal, type 4	NCBI curation	C2752149		154230	16 Feb 2016	Disease
46,XY sex reversal, type 5	NCBI curation	C2751317		613080	16 Feb 2016	Disease
46,XY sex reversal, type 6	NCBI curation	C3151064		613762	16 Feb 2016	Disease
46,XY sex reversal, type 7	NCBI curation	C1856273		233420	16 Feb 2016	Disease
46,XY true hermaphroditism, SRY-related	NCBI curation	C2748897			16 Feb 2016	Disease
46XY sex reversal 2, dosage-sensitive		CN260022			18 Jun 2019	Disease
48,XXXY syndrome	MONDO	C0265498	MONDO:0019928		17 Apr 2020	Disease
48,XYYY syndrome	MONDO	C4518082	MONDO:0020469		17 Apr 2020	Disease
49,XXXXY syndrome	MONDO	C0265499	MONDO:0019929		17 Apr 2020	Disease
49,XXXYY syndrome	MONDO	C4749586	MONDO:0016854		17 Apr 2020	Disease
49,XYYYY syndrome	MONDO	C4518342	MONDO:0020470		17 Apr 2020	Disease
4h syndrome	NCBI curation				16 Feb 2016	Disease
4p partial monosomy syndrome		C1956097		194190	16 Feb 2016	Disease
4p16.3 microduplication syndrome	MONDO	C4512053	MONDO:0019873		17 Apr 2020	Disease
4q25 proximal deletion syndrome	MONDO	CN258658	MONDO:0044717		17 Apr 2020	Disease
5)		CN237116			08 Jul 2016	Finding
5-fluorouracil poisoning	MONDO	C0274576	MONDO:0016312		17 Apr 2020	Disease
5-hydroxytryptamine oxygenase regulator	MONDO	C3887951	MONDO:0007742		17 Apr 2020	Disease
5-minute APGAR score of 0	Human Phenotype Ontology	C4476850	HP:0030920		02 Apr 2017	Finding
5-minute APGAR score of 1	Human Phenotype Ontology	C4476851	HP:0030921		02 Apr 2017	Finding
5-minute APGAR score of 2	Human Phenotype Ontology	C4476852	HP:0030922		02 Apr 2017	Finding
5-minute APGAR score of 3	Human Phenotype Ontology	C4476853	HP:0030923		02 Apr 2017	Finding
5-minute APGAR score of 4	Human Phenotype Ontology	C4476854	HP:0030924		02 Apr 2017	Finding
5-minute APGAR score of 5	Human Phenotype Ontology	C4476855	HP:0030925		02 Apr 2017	Finding
5-minute APGAR score of 6	Human Phenotype Ontology	C4476856	HP:0030926		02 Apr 2017	Finding
5-nucleotidase syndrome	MONDO	C2930876	MONDO:0022333		22 Jan 2021	Disease
5-Oxoprolinase deficiency		C0268525		260005	16 Feb 2016	Disease
5-prime-deiodinase deficiency, generalized, causing euthyroid hyperthyroxinemia, included	NCBI curation				16 Feb 2016	Disease
5p partial monosomy syndrome		C0010314		123450	16 Feb 2016	Disease
5q14.3 microdeletion syndrome	MONDO	C4304529	MONDO:0016456		17 Apr 2020	Disease
5q22 deletion syndrome	NCBI curation	CN119543			16 Feb 2016	Disease
5q35 microduplication syndrome	MONDO	C4304526	MONDO:0016461		31 Mar 2020	Disease
5th finger clinodactyly					22 Aug 2019	Finding
5th fingers brachydactyly					17 Jul 2020	Finding
6 metacarpals	Human Phenotype Ontology	C1861360	HP:0001501		16 Feb 2016	Finding
6-phosphogluconate dehydrogenase deficiency	MONDO	CN229305	MONDO:0020457	619199	17 Apr 2020	Disease
6-phosphogluconolactonase deficiency	MONDO	C1868355	MONDO:0008240	172150	16 Feb 2016	Disease
6-Pyruvoyl-tetrahydrobiopterin synthase deficiency					30 Dec 2020	Disease
6p22 microdeletion syndrome	MONDO	C4304528	MONDO:0016655		17 Apr 2020	Disease
6q partial trisomy syndrome		C0265412			16 Feb 2016	Disease
6q terminal deletion syndrome	MONDO	C4304514	MONDO:0019164		17 Apr 2020	Disease
6q16 deletion syndrome	MONDO	CN200301	MONDO:0015749		17 Apr 2020	Disease
6q21-6q22.1 deletion		CN233148			16 Feb 2016	Disease
7p22.1 microduplication syndrome	MONDO	C4707093	MONDO:0017792		17 Apr 2020	Disease
7q31 microdeletion syndrome	MONDO	C4750783	MONDO:0016656		17 Apr 2020	Disease
8p inverted duplication/deletion syndrome	MONDO	CN206812	MONDO:0019876		17 Apr 2020	Disease
8p11.2 deletion syndrome	MONDO	C4304505	MONDO:0016657		17 Apr 2020	Disease
8p23.1 duplication syndrome	MONDO	C4707330	MONDO:0016659		16 Feb 2016	Disease
8p23.1 microdeletion syndrome	MONDO	C2931638	MONDO:0016658		17 Apr 2020	Disease
8q12 microduplication syndrome	MONDO	C4304504	MONDO:0016458		17 Apr 2020	Disease
8q22.1 microdeletion syndrome	MONDO	C1842464	MONDO:0011977	608156	17 Apr 2020	Disease
9p partial trisomy syndrome		C0265428			16 Feb 2016	Disease
9p13 microdeletion syndrome	MONDO	C4707097	MONDO:0017928		17 Apr 2020	Disease
9p23 dn microdeletion					23 Aug 2021	Disease
9q22.3 microdeletion	NCBI curation	C3711390			16 Feb 2016	Disease
9q31.1q31.3 microdeletion syndrome	MONDO	C4750910	MONDO:0018428		17 Apr 2020	Disease
9q33.3q34.11 microdeletion syndrome	MONDO	CN258460	MONDO:0044641		17 Apr 2020	Disease
9q34 microduplication syndrome					17 May 2019	Disease
_ Audiologic/Otolaryngologic (child onset)		CN232491			16 Feb 2016	Finding
_ Cardiovascular (adult onset)		CN232459			16 Feb 2016	Finding
_ Cardiovascular (child onset)		CN232503			16 Feb 2016	Finding
_ Dental (child onset)		CN232509			16 Feb 2016	Finding
_ Dermatologic (child onset)		CN232511			16 Feb 2016	Finding
_ Gastrointestinal (adult onset)		CN232460			16 Feb 2016	Finding
_ Gastrointestinal (child onset)		CN232514			16 Feb 2016	Finding
_ Musculoskeletal/Structural (child onset)		CN232522			16 Feb 2016	Finding
_ Neurologic (child onset)		CN232526			16 Feb 2016	Finding
_ Oncologic (adult onset)		CN232461			16 Feb 2016	Finding
_ Ophthalmologic (child onset)		CN232530			16 Feb 2016	Finding
_ Renal (child onset)		CN232531			16 Feb 2016	Finding
A large cistern magna cyst					06 Jul 2021	Finding
A patient diagnosed with hereditary motor and sensory neuropathy					23 Sep 2020	Finding
A patient diagnosed with Seizures.					23 Sep 2020	Finding
a single cafe-au-lait lesion					01 Oct 2020	Finding
A20 haploinsufficiency	MONDO	CN294825	MONDO:0100222		22 Jan 2021	Disease
AA amyloidosis	MONDO	C3536715	MONDO:0019439		16 Feb 2016	Disease
AApoAI amyloidosis	MONDO	CN206638	MONDO:0019731		17 Apr 2020	Disease
AApoAIV amyloidosis	MONDO	CN237620	MONDO:0018589		17 Apr 2020	Disease
Aarskog syndrome	NCBI curation	C0175701		305400	16 Feb 2016	Disease
Aarskog syndrome, autosomal dominant	NCBI curation	C3149220		100050	16 Feb 2016	Disease
Aase-Smith syndrome	MONDO	C0220686	MONDO:0007839	147800	22 Apr 2020	Disease
Abacavir hypersensitivity	NCBI curation	C1840547			16 Feb 2016	Pharmacological response
Abacavir response		CN297565			23 Jun 2021	Pharmacological response
Abasia	Human Phenotype Ontology	C0877217	HP:0012651		16 Feb 2016	Finding
Abatacept response		CN297581			23 Jun 2021	Pharmacological response
ABCA1 polymorphism	NCBI curation	C5193180			10 Aug 2020	Finding
ABCA1-Related Disorders		CN239173			02 Dec 2016	Disease
ABCA2-related condition					27 Apr 2018	Finding
ABCA4-Related Disorders		CN239167			02 Dec 2016	Disease
ABCB4-related disorders					11 Oct 2018	Disease
ABCB4-Related Intrahepatic Cholestasis		CN239174			02 Dec 2016	Disease
ABCC8-related disorder					07 Dec 2018	Disease
ABCC9-Related Disorders					23 May 2019	Disease
ABCD syndrome	MONDO	C1838099	MONDO:0010895	600501	16 Feb 2016	Disease
Abciximab response		CN297582			23 Jun 2021	Pharmacological response
Abdominal and pelvic region disorder	MONDO	CN277761	MONDO:0044965		17 Apr 2020	Disease
Abdominal aortic aneurysm	Human Phenotype Ontology	C0162871	HP:0005112		13 Jan 2021	Finding
Abdominal aortic aneurysm	MONDO	C0162871	MONDO:0005350		13 Jan 2021	Finding
Abdominal aortic calcification	Human Phenotype Ontology	C4531207	HP:0031313		04 Apr 2018	Finding
Abdominal aseptic abscess	Human Phenotype Ontology	C4476641	HP:0025181		02 Apr 2017	Finding
Abdominal chemodectomas with cutaneous angiolipomas					16 Feb 2016	Disease
Abdominal colic	Human Phenotype Ontology	C0232488	HP:0011848		16 Feb 2016	Finding
Abdominal cystic lymphangioma	MONDO	C2930929	MONDO:0021726		16 Feb 2016	Disease
Abdominal distention	Human Phenotype Ontology	C0000731	HP:0003270		16 Feb 2016	Finding
Abdominal ectopia cordis	Human Phenotype Ontology	C4023287	HP:0011582		16 Feb 2016	Finding
Abdominal ectopic pregnancy	MONDO		MONDO:0043759		17 Apr 2020	Disease
Abdominal mass	Human Phenotype Ontology	C0000734	HP:0031500		04 Apr 2018	Finding
Abdominal obesity	Human Phenotype Ontology	C0311277	HP:0012743		16 Feb 2016	Finding
Abdominal obesity-metabolic syndrome	OMIM phenotypic series	C2930930	PS605552		30 Jul 2017	Disease
Abdominal obesity-metabolic syndrome	MONDO	C2930930	MONDO:0000816		30 Jul 2017	Disease
Abdominal obesity-metabolic syndrome 3	MONDO	C4014361	MONDO:0014352	615812	16 Feb 2016	Disease
Abdominal obesity-metabolic syndrome quantitative trait locus 1	NCBI curation				16 Feb 2016	Disease
Abdominal obesity-metabolic syndrome quantitative trait locus 2	MONDO	C1854170	MONDO:0011566	605572	16 Feb 2016	Disease
Abdominal pain	Human Phenotype Ontology	C0000737	HP:0002027		16 Feb 2016	Finding
Abdominal situs ambiguus	Human Phenotype Ontology	C4531036	HP:0031565		04 Apr 2018	Finding
Abdominal symptom	Human Phenotype Ontology	C0740651	HP:0011458		16 Feb 2016	Finding
Abdominal tuberculosis	MONDO	C0740652	MONDO:0000369		04 Jun 2020	Infectious disease
Abdominal wall defect	Human Phenotype Ontology	C0238577	HP:0010866		16 Feb 2016	Finding
Abdominal wall defect; talipes equinovarus; single umbilical artery; abnormality of the vertebrae					16 Feb 2016	Finding
Abdominal wall muscle weakness	Human Phenotype Ontology	C4021527	HP:0009023		16 Feb 2016	Finding
abducens					05 Sep 2019	Finding
Abducens nerve disorder	NCBI curation	C0271355			08 Dec 2020	Finding
Abducens nerve neoplasm	MONDO	C1263898	MONDO:0001884		17 Apr 2020	Disease
Abducens nerve palsy	MONDO	C4551519	MONDO:0007033	100200	06 Apr 2021	Disease
